45234, 1, 0.32479964381121995
12, 1, 0.30094043887147337
896783, 1, 0.298394495412844
15, 1, 0.3252987227029254
9, 1, 0.3321642252939963
45234, 2, 0.4908726625111309
12, 2, 0.47648902821316613
896783, 2, 0.47889908256880737
15, 2, 0.48434281005356405
9, 2, 0.47390138229832884
45234, 3, 0.5443009795191451
12, 3, 0.5270637408568443
896783, 3, 0.5318807339449542
15, 3, 0.5426452410383189
9, 3, 0.5324943263874562
45234, 4, 0.5894924309884239
12, 4, 0.5862068965517241
896783, 4, 0.5807339449541284
15, 4, 0.5966213432220849
9, 4, 0.5832473695069115
45234, 5, 0.6438112199465716
12, 5, 0.6394984326018809
896783, 5, 0.6332568807339449
15, 5, 0.6516275236918005
9, 5, 0.6354446049102538
45234, 62, 0.7462154942119323
9, 59, 0.7501547348875593
12, 62, 0.754858934169279
15, 62, 0.7672023073753605
896783, 62, 0.7399082568807339
